Stephen Curry,32,GSW,PG,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,32,curryst01
Bradley Beal,27,WAS,SG,60,60,35.8,11.2,23,0.485,2.2,6.2,0.349,9,16.8,0.535,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,31.3,bealbr01
Damian Lillard,30,POR,PG,67,67,35.8,9,19.9,0.451,4.1,10.5,0.391,4.9,9.4,0.519,6.7,7.2,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3,28.8,lillada01
Joel Embiid,26,PHI,C,51,51,31.1,9,17.6,0.513,1.1,3,0.377,7.9,14.6,0.541,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1,1.4,3.1,28.5,embiijo01
Giannis Antetokounmpo,26,MIL,PF,61,61,33,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,28.1,antetgi01
Luka Dončić,21,DAL,PG,66,66,34.3,9.8,20.5,0.479,2.9,8.3,0.35,6.9,12.2,0.567,5.2,7.1,0.73,0.8,7.2,8,8.6,1,0.5,4.3,27.7,doncilu01
Zach LaVine,25,CHI,SG,58,58,35.1,9.8,19.4,0.507,3.4,8.2,0.419,6.4,11.1,0.571,4.4,5.1,0.849,0.6,4.4,5,4.9,0.8,0.5,3.5,27.4,lavinza01
Zion Williamson,20,NOP,PF,61,61,33.2,10.4,17,0.611,0.2,0.6,0.294,10.2,16.4,0.622,6,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,27,willizi01
Kevin Durant,32,BRK,PF,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,6,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,26.9,duranke01
Kyrie Irving,28,BRK,PG,54,54,34.9,10.2,20.1,0.506,2.8,7,0.402,7.4,13.1,0.561,3.7,4,0.922,1,3.8,4.8,6,1.4,0.7,2.4,26.9,irvinky01
Nikola Jokić,25,DEN,C,72,72,34.6,10.2,18,0.566,1.3,3.3,0.388,8.9,14.7,0.606,4.8,5.5,0.868,2.8,8,10.8,8.3,1.3,0.7,3.1,26.4,jokicni01
Donovan Mitchell,24,UTA,PG,53,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,26.4,mitchdo01
Jayson Tatum,22,BOS,SF,64,64,35.8,9.5,20.6,0.459,2.9,7.6,0.386,6.5,13,0.502,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,26.4,tatumja01
Devin Booker,24,PHO,SG,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,25.6,bookede01
Trae Young,22,ATL,PG,63,63,33.7,7.7,17.7,0.438,2.2,6.3,0.343,5.6,11.3,0.491,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,25.3,youngtr01
De'Aaron Fox,23,SAC,PG,58,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,7.3,13.6,0.539,5.2,7.2,0.719,0.6,2.9,3.5,7.2,1.5,0.5,3,25.2,foxde01
LeBron James,36,LAL,PG,45,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12,0.591,4,5.7,0.698,0.6,7,7.7,7.8,1.1,0.6,3.7,25,jamesle01
Kawhi Leonard,29,LAC,SF,52,52,34.1,8.9,17.5,0.512,1.9,4.9,0.398,7,12.6,0.557,5,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2,24.8,leonaka01
Karl-Anthony Towns,25,MIN,C,50,50,33.8,8.5,17.5,0.486,2.4,6.3,0.387,6.1,11.2,0.541,5.3,6.2,0.859,2.7,7.9,10.6,4.5,0.8,1.1,3.2,24.8,townska01
